country,year,electricity_generation,renewables_electricity,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,fossil_electricity,carbon_intensity_elec,pct_renouvelable,pct_nucleaire
Austria,2000,59.64,43.44,0.0,0.07,41.84,0.0,16.2,203.39,72.8,0.0
Austria,2001,60.98,42.24,0.01,0.1,40.46,0.0,18.74,229.09,69.3,0.0
Austria,2002,60.63,41.9,0.01,0.14,40.23,0.0,18.73,226.13,69.1,0.0
Austria,2003,57.97,35.24,0.01,0.37,33.21,0.0,22.73,282.39,60.8,0.0
Austria,2004,61.85,39.62,0.02,0.93,36.76,0.0,22.23,259.34,64.1,0.0
Austria,2005,64.37,40.88,0.02,1.33,37.1,0.0,23.49,254.0,63.5,0.0
Austria,2006,62.21,40.66,0.02,1.75,35.66,0.0,21.55,253.01,65.4,0.0
Austria,2007,62.83,43.17,0.02,2.04,37.05,0.0,19.66,232.69,68.7,0.0
Austria,2008,64.38,44.53,0.03,2.01,38.33,0.0,19.85,220.41,69.2,0.0
Austria,2009,66.21,47.18,0.05,1.95,40.9,0.0,19.03,195.89,71.3,0.0
Austria,2010,67.82,44.99,0.09,2.06,38.36,0.0,22.83,226.78,66.3,0.0
Austria,2011,62.2,40.91,0.17,1.94,34.24,0.0,21.29,238.59,65.8,0.0
Austria,2012,68.65,51.33,0.34,2.46,43.85,0.0,17.32,185.87,74.8,0.0
Austria,2013,64.55,50.5,0.63,3.15,42.02,0.0,14.05,173.35,78.2,0.0
Austria,2014,61.55,50.2,0.79,3.85,41.01,0.0,11.35,150.45,81.6,0.0
Austria,2015,61.78,47.59,0.94,4.84,37.16,0.0,14.19,172.06,77.0,0.0
Austria,2016,64.87,51.08,1.1,5.23,39.97,0.0,13.79,154.62,78.7,0.0
Austria,2017,67.09,51.05,1.27,6.57,38.29,0.0,16.04,162.92,76.1,0.0
Austria,2018,64.67,50.06,1.46,6.03,37.64,0.0,14.61,157.88,77.4,0.0
Austria,2019,70.69,54.64,1.7,7.45,40.83,0.0,16.05,152.78,77.3,0.0
Austria,2020,69.03,55.42,2.04,6.79,42.0,0.0,13.61,133.28,80.3,0.0
Austria,2021,66.67,52.75,2.78,6.74,38.75,0.0,13.92,135.29,79.1,0.0
Austria,2022,64.47,50.41,3.79,7.24,34.63,0.0,14.06,140.84,78.2,0.0
Austria,2023,70.98,60.16,6.89,8.04,40.67,0.0,10.82,111.72,84.8,0.0
Austria,2024,78.47,67.66,8.14,9.14,45.71,0.0,10.81,103.48,86.2,0.0
Austria,2025,73.22,61.21,10.31,8.31,37.93,0.0,12.01,116.91,83.6,0.0
Belgium,2000,82.79,1.05,0.0,0.02,0.46,48.16,33.58,269.6,1.3,58.2
Belgium,2001,78.63,1.08,0.0,0.04,0.44,46.35,31.2,252.83,1.4,58.9
Belgium,2002,80.94,1.14,0.0,0.06,0.36,47.36,32.44,249.82,1.4,58.5
Belgium,2003,83.57,1.2,0.0,0.09,0.25,47.38,34.99,249.13,1.4,56.7
Belgium,2004,82.91,1.5,0.0,0.14,0.32,47.31,34.1,247.62,1.8,57.1
Belgium,2005,84.38,2.11,0.0,0.23,0.29,47.6,34.67,241.05,2.5,56.4
Belgium,2006,83.34,2.96,0.0,0.37,0.36,46.65,33.73,231.58,3.6,56.0
Belgium,2007,86.81,3.49,0.01,0.49,0.39,48.23,35.09,224.28,4.0,55.6
Belgium,2008,83.06,4.42,0.04,0.64,0.41,45.57,33.07,218.28,5.3,54.9
Belgium,2009,89.76,5.44,0.17,0.99,0.33,47.22,37.1,216.91,6.1,52.6
Belgium,2010,93.04,6.57,0.58,1.3,0.31,47.94,38.53,212.81,7.1,51.5
