year,decade,period
2000,2000s,avant 2010
2001,2000s,avant 2010
2002,2000s,avant 2010
2003,2000s,avant 2010
2004,2000s,avant 2010
2005,2000s,avant 2010
2006,2000s,avant 2010
2007,2000s,avant 2010
2008,2000s,avant 2010
2009,2000s,avant 2010
2010,2010s,2010-2019
2011,2010s,2010-2019
2012,2010s,2010-2019
2013,2010s,2010-2019
2014,2010s,2010-2019
2015,2010s,2010-2019
2016,2010s,2010-2019
2017,2010s,2010-2019
2018,2010s,2010-2019
2019,2010s,2010-2019
2020,2020s,2020+
2021,2020s,2020+
2022,2020s,2020+
2023,2020s,2020+
2024,2020s,2020+
2025,2020s,2020+
