country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Norway,Nord,2002,99.6,0.0,26.49,1,1
Switzerland,Ouest,2002,55.2,41.6,34.25,3,2
Sweden,Nord,2002,48.5,46.4,56.24,4,3
France,Ouest,2002,11.4,79.2,75.21,12,4
Austria,Ouest,2002,69.1,0.0,226.13,2,5
Belgium,Ouest,2002,1.4,58.5,249.82,21,6
Finland,Nord,2002,26.5,29.8,316.2,7,7
Croatia,Est,2002,46.1,0.0,370.37,5,8
Hungary,Est,2002,0.6,38.6,432.37,22,9
Bulgaria,Est,2002,5.0,48.1,444.63,16,10
Spain,Ouest,2002,13.8,26.3,481.89,11,11
Romania,Est,2002,29.5,10.1,515.07,6,12
United Kingdom,Autre,2002,2.9,22.7,520.89,19,13
Italy,Ouest,2002,17.4,0.0,523.08,9,14
Netherlands,Ouest,2002,4.2,4.1,538.78,17,15
Germany,Autre,2002,7.6,28.2,569.62,13,16
Portugal,Sud,2002,21.4,0.0,592.54,8,17
Ireland,Nord,2002,5.6,0.0,615.73,15,18
Denmark,Nord,2002,17.4,0.0,618.67,9,19
Czechia,Est,2002,3.9,24.7,699.34,18,20
Greece,Sud,2002,6.7,0.0,827.59,14,21
Poland,Est,2002,1.9,0.0,945.61,20,22
Norway,Nord,2001,99.5,0.0,26.87,1,1
Switzerland,Ouest,2001,59.4,37.7,33.36,3,2
Sweden,Nord,2001,51.6,44.6,46.78,5,3
France,Ouest,2001,14.0,77.6,68.63,12,4
Austria,Ouest,2001,69.3,0.0,229.09,2,5
Belgium,Ouest,2001,1.4,58.9,252.83,21,6
Finland,Nord,2001,28.9,30.6,284.89,7,7
Croatia,Est,2001,56.3,0.0,306.67,4,8
Spain,Ouest,2001,21.2,27.3,422.49,9,9
Hungary,Est,2001,0.7,38.8,439.04,22,10
Bulgaria,Est,2001,3.8,45.0,484.35,16,11
Italy,Ouest,2001,20.0,0.0,498.68,10,12
Portugal,Sud,2001,34.2,0.0,506.95,6,13
Romania,Est,2001,27.9,10.2,524.56,8,14
United Kingdom,Autre,2001,2.5,23.4,528.99,19,15
Netherlands,Ouest,2001,3.6,4.3,541.03,17,16
Germany,Autre,2001,6.5,29.6,565.48,13,17
Denmark,Nord,2001,15.6,0.0,630.79,11,18
Ireland,Nord,2001,4.2,0.0,641.32,15,19
Czechia,Est,2001,3.5,19.9,751.82,18,20
Greece,Sud,2001,5.6,0.0,845.64,14,21
Poland,Est,2001,1.9,0.0,949.56,20,22
Norway,Nord,2003,99.4,0.0,27.75,1,1
Switzerland,Ouest,2003,54.7,42.1,34.44,3,2
Sweden,Nord,2003,43.4,49.8,68.54,4,3
France,Ouest,2003,11.0,78.9,80.86,12,4
Belgium,Ouest,2003,1.4,56.7,249.13,21,5
Austria,Ouest,2003,60.8,0.0,282.39,2,6
Finland,Nord,2003,22.6,27.0,371.38,8,7
Croatia,Est,2003,41.5,0.0,414.13,5,8
Spain,Ouest,2003,21.7,24.0,429.23,9,9
Hungary,Est,2003,1.0,32.3,468.8,22,10
Portugal,Sud,2003,38.2,0.0,485.23,6,11
Bulgaria,Est,2003,7.1,40.9,492.9,15,12
Italy,Ouest,2003,16.4,0.0,523.25,11,13
United Kingdom,Autre,2003,2.7,22.3,536.78,18,14
Netherlands,Ouest,2003,4.1,4.2,540.8,17,15
Germany,Autre,2003,7.8,27.4,570.01,14,16
Romania,Est,2003,24.2,9.0,573.85,7,17
Ireland,Nord,2003,4.6,0.0,595.65,16,18
Denmark,Nord,2003,17.6,0.0,651.51,10,19
Czechia,Est,2003,2.3,31.2,651.89,19,20
Greece,Sud,2003,10.3,0.0,790.33,13,21
Poland,Est,2003,1.5,0.0,949.8,20,22
Norway,Nord,2016,98.1,0.0,33.1,1,1
Switzerland,Ouest,2016,61.9,34.6,39.44,4,2
Sweden,Nord,2016,57.2,40.5,42.98,6,3
France,Ouest,2016,17.7,72.1,68.62,16,4
Austria,Ouest,2016,78.7,0.0,154.62,2,5
Belgium,Ouest,2016,16.9,51.6,158.7,17,6
Finland,Nord,2016,44.2,33.7,199.56,8,7
Croatia,Est,2016,66.3,0.0,275.4,3,8
Spain,Ouest,2016,38.7,21.7,282.93,10,9
Hungary,Est,2016,10.2,50.3,300.19,22,10
United Kingdom,Autre,2016,24.5,21.1,333.45,15,11
Portugal,Sud,2016,54.7,0.0,343.61,7,12
Romania,Est,2016,42.0,17.6,345.38,9,13
Denmark,Nord,2016,60.5,0.0,360.86,5,14
Italy,Ouest,2016,37.8,0.0,389.58,11,15
Ireland,Nord,2016,25.1,0.0,442.57,14,16
Bulgaria,Est,2016,15.8,35.4,472.04,18,17
Germany,Autre,2016,29.5,13.2,498.3,12,18
Netherlands,Ouest,2016,13.0,3.5,524.57,20,19
Greece,Sud,2016,27.7,0.0,571.51,13,20
Czechia,Est,2016,11.5,29.4,573.9,21,21
Poland,Est,2016,13.7,0.0,818.55,19,22
Norway,Nord,2012,98.2,0.0,32.15,1,1
Switzerland,Ouest,2012,59.5,37.3,36.25,3,2
Sweden,Nord,2012,59.1,38.5,44.7,4,3
France,Ouest,2012,15.0,75.0,77.59,15,4
Austria,Ouest,2012,74.8,0.0,185.87,2,5
Belgium,Ouest,2012,12.9,49.4,202.68,16,6
Finland,Nord,2012,40.6,32.7,215.17,8,7
Hungary,Est,2012,7.6,45.6,332.76,22,8
Spain,Ouest,2012,29.6,20.9,351.11,10,9
Croatia,Est,2012,49.8,0.0,351.94,5,10
Denmark,Nord,2012,48.5,0.0,431.14,6,11
Italy,Ouest,2012,31.2,0.0,438.17,9,12
Portugal,Sud,2012,42.6,0.0,441.24,7,13
Ireland,Nord,2012,19.6,0.0,483.06,13,14
Romania,Est,2012,25.5,19.6,486.85,11,15
Netherlands,Ouest,2012,12.2,3.8,494.48,17,16
Bulgaria,Est,2012,11.3,34.0,525.4,18,17
Germany,Autre,2012,23.1,16.0,534.16,12,18
United Kingdom,Autre,2012,11.3,19.4,537.23,18,19
Czechia,Est,2012,9.3,35.0,552.78,21,20
Greece,Sud,2012,16.9,0.0,704.06,14,21
Poland,Est,2012,10.5,0.0,860.79,20,22
Norway,Nord,2006,99.3,0.0,27.88,1,1
Switzerland,Ouest,2006,51.7,44.8,36.21,3,2
Sweden,Nord,2006,49.6,46.7,49.69,5,3
France,Ouest,2006,10.7,79.4,76.57,14,4
Belgium,Ouest,2006,3.6,56.0,231.58,21,5
Austria,Ouest,2006,65.4,0.0,253.01,2,6
Finland,Nord,2006,27.3,27.8,335.76,8,7
Croatia,Est,2006,51.5,0.0,347.02,4,8
Hungary,Est,2006,4.2,37.5,389.96,19,9
Spain,Ouest,2006,17.6,20.3,432.76,10,10
Bulgaria,Est,2006,9.3,42.9,451.81,15,11
Portugal,Sud,2006,32.5,0.0,503.93,6,12
Italy,Ouest,2006,16.6,0.0,506.76,11,13
Netherlands,Ouest,2006,8.3,3.6,511.38,17,14
Romania,Est,2006,29.3,9.0,530.37,7,15
Germany,Autre,2006,11.5,26.5,536.21,13,16
United Kingdom,Autre,2006,4.6,19.0,559.34,18,17
Ireland,Nord,2006,9.2,0.0,559.41,16,18
