country,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,pct_renouvelable_n1,variation_renouvelable,carbone_n1,variation_carbone
Austria,2000,72.8,0.0,203.39,,,,
Austria,2001,69.3,0.0,229.09,72.8,-3.5,203.39,25.7
Austria,2002,69.1,0.0,226.13,69.3,-0.2,229.09,-3.0
Austria,2003,60.8,0.0,282.39,69.1,-8.3,226.13,56.3
Austria,2004,64.1,0.0,259.34,60.8,3.3,282.39,-23.1
Austria,2005,63.5,0.0,254.0,64.1,-0.6,259.34,-5.3
Austria,2006,65.4,0.0,253.01,63.5,1.9,254.0,-1.0
Austria,2007,68.7,0.0,232.69,65.4,3.3,253.01,-20.3
Austria,2008,69.2,0.0,220.41,68.7,0.5,232.69,-12.3
Austria,2009,71.3,0.0,195.89,69.2,2.1,220.41,-24.5
Austria,2010,66.3,0.0,226.78,71.3,-5.0,195.89,30.9
Austria,2011,65.8,0.0,238.59,66.3,-0.5,226.78,11.8
Austria,2012,74.8,0.0,185.87,65.8,9.0,238.59,-52.7
Austria,2013,78.2,0.0,173.35,74.8,3.4,185.87,-12.5
Austria,2014,81.6,0.0,150.45,78.2,3.4,173.35,-22.9
Austria,2015,77.0,0.0,172.06,81.6,-4.6,150.45,21.6
Austria,2016,78.7,0.0,154.62,77.0,1.7,172.06,-17.4
Austria,2017,76.1,0.0,162.92,78.7,-2.6,154.62,8.3
Austria,2018,77.4,0.0,157.88,76.1,1.3,162.92,-5.0
Austria,2019,77.3,0.0,152.78,77.4,-0.1,157.88,-5.1
Austria,2020,80.3,0.0,133.28,77.3,3.0,152.78,-19.5
Austria,2021,79.1,0.0,135.29,80.3,-1.2,133.28,2.0
Austria,2022,78.2,0.0,140.84,79.1,-0.9,135.29,5.6
Austria,2023,84.8,0.0,111.72,78.2,6.6,140.84,-29.1
Austria,2024,86.2,0.0,103.48,84.8,1.4,111.72,-8.2
Austria,2025,83.6,0.0,116.91,86.2,-2.6,103.48,13.4
Greece,2000,7.8,0.0,822.82,,,,
Greece,2001,5.6,0.0,845.64,7.8,-2.2,822.82,22.8
Greece,2002,6.7,0.0,827.59,5.6,1.1,845.64,-18.0
Greece,2003,10.3,0.0,790.33,6.7,3.6,827.59,-37.3
Greece,2004,10.2,0.0,786.16,10.3,-0.1,790.33,-4.2
Greece,2005,10.9,0.0,782.56,10.2,0.7,786.16,-3.6
Greece,2006,12.9,0.0,743.14,10.9,2.0,782.56,-39.4
Greece,2007,7.4,0.0,776.92,12.9,-5.5,743.14,33.8
Greece,2008,9.2,0.0,758.93,7.4,1.8,776.92,-18.0
Greece,2009,13.5,0.0,747.1,9.2,4.3,758.93,-11.8
Greece,2010,18.6,0.0,707.3,13.5,5.1,747.1,-39.8
Greece,2011,13.9,0.0,725.06,18.6,-4.7,707.3,17.8
Greece,2012,16.9,0.0,704.06,13.9,3.0,725.06,-21.0
Greece,2013,25.5,0.0,636.69,16.9,8.6,704.06,-67.4
Greece,2014,24.5,0.0,667.88,25.5,-1.0,636.69,31.2
Greece,2015,29.1,0.0,603.53,24.5,4.6,667.88,-64.4
Greece,2016,27.7,0.0,571.51,29.1,-1.4,603.53,-32.0
Greece,2017,25.2,0.0,579.75,27.7,-2.5,571.51,8.2
Greece,2018,30.7,0.0,545.14,25.2,5.5,579.75,-34.6
Greece,2019,33.6,0.0,496.98,30.7,2.9,545.14,-48.2
Greece,2020,36.9,0.0,423.07,33.6,3.3,496.98,-73.9
Greece,2021,40.8,0.0,383.11,36.9,3.9,423.07,-40.0
Greece,2022,43.4,0.0,376.81,40.8,2.6,383.11,-6.3
Greece,2023,49.8,0.0,336.4,43.4,6.4,376.81,-40.4
Greece,2024,49.2,0.0,321.65,49.8,-0.6,336.4,-14.8
Greece,2025,49.7,0.0,315.09,49.2,0.5,321.65,-6.6
France,2000,12.7,78.0,79.77,,,,
France,2001,14.0,77.6,68.63,12.7,1.3,79.77,-11.1
France,2002,11.4,79.2,75.21,14.0,-2.6,68.63,6.6
France,2003,11.0,78.9,80.86,11.4,-0.4,75.21,5.7
France,2004,11.0,79.2,77.19,11.0,0.0,80.86,-3.7
France,2005,9.7,79.3,85.53,11.0,-1.3,77.19,8.3
France,2006,10.7,79.4,76.57,9.7,1.0,85.53,-9.0
France,2007,11.4,78.3,80.11,10.7,0.7,76.57,3.5
France,2008,12.8,77.5,76.03,11.4,1.4,80.11,-4.1
France,2009,12.9,77.5,75.6,12.8,0.1,76.03,-0.4
France,2010,13.6,76.2,78.56,12.9,0.7,75.6,3.0
France,2011,11.6,77.9,74.62,13.6,-2.0,78.56,-3.9
France,2012,15.0,75.0,77.59,11.6,3.4,74.62,3.0
France,2013,17.2,73.5,76.29,15.0,2.2,77.59,-1.3
France,2014,16.6,77.1,52.22,17.2,-0.6,76.29,-24.1
France,2015,16.0,76.2,59.17,16.6,-0.6,52.22,7.0
France,2016,17.7,72.1,68.62,16.0,1.7,59.17,9.5
France,2017,16.5,71.7,78.31,17.7,-1.2,68.62,9.7
France,2018,19.8,71.7,59.92,16.5,3.3,78.31,-18.4
France,2019,20.0,70.6,59.79,19.8,0.2,59.92,-0.1
France,2020,23.7,67.1,59.08,20.0,3.7,59.79,-0.7
France,2021,22.2,68.9,59.8,23.7,-1.5,59.08,0.7
France,2022,24.2,62.9,78.54,22.2,2.0,59.8,18.7
France,2023,26.9,65.2,53.26,24.2,2.7,78.54,-25.3
France,2024,27.2,67.7,40.48,26.9,0.3,53.26,-12.8
France,2025,26.1,68.8,41.44,27.2,-1.1,40.48,1.0
Belgium,2000,1.3,58.2,269.6,,,,
Belgium,2001,1.4,58.9,252.83,1.3,0.1,269.6,-16.8
Belgium,2002,1.4,58.5,249.82,1.4,0.0,252.83,-3.0
Belgium,2003,1.4,56.7,249.13,1.4,0.0,249.82,-0.7
Belgium,2004,1.8,57.1,247.62,1.4,0.4,249.13,-1.5
Belgium,2005,2.5,56.4,241.05,1.8,0.7,247.62,-6.6
Belgium,2006,3.6,56.0,231.58,2.5,1.1,241.05,-9.5
Belgium,2007,4.0,55.6,224.28,3.6,0.4,231.58,-7.3
Belgium,2008,5.3,54.9,218.28,4.0,1.3,224.28,-6.0
Belgium,2009,6.1,52.6,216.91,5.3,0.8,218.28,-1.4
Belgium,2010,7.1,51.5,212.81,6.1,1.0,216.91,-4.1
Belgium,2011,9.4,54.0,192.88,7.1,2.3,212.81,-19.9
Belgium,2012,12.9,49.4,202.68,9.4,3.5,192.88,9.8
Belgium,2013,14.3,52.0,184.26,12.9,1.4,202.68,-18.4
Belgium,2014,17.1,47.3,189.89,14.3,2.8,184.26,5.6
Belgium,2015,21.1,38.1,215.55,17.1,4.0,189.89,25.7
